description,category,clean_description
ordered paneer butter masala,food,paneer butter masala
ate chicken biryani,food,chicken biryani
drank cold coffee,food,cold coffee
evening tea snacks,food,tea snacks
ordered pizza from dominos,food,pizza dominos
ate burger at mcdonalds,food,burger mcdonalds
street food vada pav,food,vada pav
pani puri with friends,food,pani puri
swiggy food order,food,swiggy food
zomato dinner order,food,zomato dinner

uber ride to college,transportation,uber ride college
ola cab booking,transportation,ola cab
auto fare paid,transportation,auto fare
bus ticket purchase,transportation,bus ticket
train ticket booking,transportation,train ticket
metro recharge card,transportation,metro recharge
petrol refill bike,transportation,petrol refill
diesel car fuel,transportation,diesel fuel
taxi airport ride,transportation,taxi airport
parking charges mall,transportation,parking

paid electricity bill,utilities,electricity bill
wifi recharge monthly,utilities,wifi recharge
mobile recharge prepaid,utilities,mobile recharge
gas cylinder refill,utilities,gas refill
water bill payment,utilities,water bill
internet broadband bill,utilities,internet bill
phone bill postpaid,utilities,phone bill
dth recharge tata sky,utilities,dth recharge
bought light bulb,utilities,light bulb
tube light replacement,utilities,tube light

amazon shopping order,shopping,amazon order
flipkart mobile purchase,shopping,flipkart mobile
bought new shoes,shopping,buy shoes
purchased jeans tshirt,shopping,jeans tshirt
laptop purchase online,shopping,laptop purchase
mobile phone purchase,shopping,mobile purchase
headphones bought online,shopping,headphones
watch purchase,shopping,watch purchase
gaming accessories buy,shopping,gaming accessories
clothes shopping mall,shopping,clothes shopping

doctor consultation fee,health,doctor visit
hospital treatment bill,health,hospital bill
medicine purchase pharmacy,health,medicine purchase
dentist checkup fee,health,dentist visit
blood test lab,health,blood test
health checkup full body,health,health checkup
x ray scan hospital,health,xray scan
covid test report,health,covid test
clinic visit fee,health,clinic visit
medical expenses total,health,medical expenses

movie tickets booked,entertainment,movie tickets
netflix subscription payment,entertainment,netflix
spotify premium recharge,entertainment,spotify
youtube premium recharge,entertainment,youtube premium
amazon prime subscription,entertainment,amazon prime
gaming purchase steam,entertainment,gaming purchase
concert ticket booking,entertainment,concert ticket
football match ticket,entertainment,match ticket
ott subscription payment,entertainment,ott subscription
tv show subscription,entertainment,tv subscription

school fees payment,education,school fees
college tuition fees,education,college fees
bought books study,education,buy books
online course udemy,education,online course
exam fees paid,education,exam fees
notebook purchase stationery,education,notebook purchase
pen pencil purchase,education,stationery
coaching class fees,education,coaching fees
training program fees,education,training fees
study material purchase,education,study material

detergent purchase home,household,detergent
soap purchase home,household,soap
floor cleaner liquid,household,floor cleaner
broom purchase cleaning,household,broom
mop cleaning house,household,mop
kitchen utensils purchase,household,utensils
dishwash liquid,household,dishwash
garbage bags purchase,household,garbage bags
cleaning supplies home,household,cleaning supplies
home maintenance items,household,home maintenance

haircut salon,personal_care,haircut
salon grooming visit,personal_care,salon visit
cosmetics purchase makeup,personal_care,cosmetics
shampoo bought,personal_care,shampoo
facewash skincare purchase,personal_care,skincare
beauty parlour visit,personal_care,parlor visit
spa relaxation visit,personal_care,spa visit
hair styling salon,personal_care,hair styling
facial treatment salon,personal_care,facial treatment
self care items,personal_care,self care

random expense unknown,others,random expense
miscellaneous payment,others,miscellaneous
unexpected cost occurred,others,unexpected cost
other expenses,others,other expense
general spending,others,general spending
ordered dosa breakfast,food,dosa breakfast
ate samosa chai,food,samosa chai
butter chicken dinner,food,butter chicken
fried rice lunch,food,fried rice
noodles from restaurant,food,noodles restaurant
cold drink pepsi,food,pepsi drink
coffee at starbucks,food,coffee starbucks
